STEPS,U-CORRELATEDQ
22927,0.0651848492599854
22983,0.0531158776485157
23077,0.0853846657703983
23105,0.0768572438856339
23152,0.0960501470989747
23220,0.0782872063251894
23234,0.0638400308666718
23409,0.339840929620184
23432,0.277086774153297
23466,0.225996742097371
23495,0.184257890091517
23621,0.177873631843829
23641,0.145134594715003
23866,0.118188177900832
24032,0.3146157641134
24054,0.256873667815618
24167,0.105221288523706
24194,0.0683162965828998
24237,0.295598179840741
24340,0.241283973442997
24375,0.197080253465078
24442,0.160946161647271
24517,0.262394477866978
24543,0.214399310788208
24556,0.175207290886192
24599,0.143171828943309
24604,0.117017815994471
24613,0.0956394687912336
24621,0.078185613538972
24683,0.0638783828731153
24839,0.0521580468260208
24857,0.0426428305050361
25012,0.0348287944641132
25121,0.028463651175926
25151,0.0232798255332227
25332,0.0146631228874874
25425,0.0119911382337108
25474,0.00981087196221608
25583,0.00459178125354676
25614,0.0010281117041071
25775,0.000840717779405864
25782,0.278328950771416
25940,0.219700316131306
26058,0.17981333359706
26075,0.147313738436377
26089,0.120694504615585
26230,0.310752192579136
26449,0.34995877021133
26655,0.286468989014793
26743,0.234801702055139
26891,0.186926119791957
26906,0.153365402403983
27025,0.121322039835078
27046,0.0995585503630654
27156,0.173032281437104
27168,0.142035993750728
27228,0.116549068161031
27331,0.0956119293066138
27366,0.0784940036885491
27473,0.643306235451538
27507,0.528269334547851
27509,0.433944434261825
27540,0.356377599824187
27700,0.292379033455852
27788,0.240084837398253
27854,0.197210972791547
27859,0.162095269244601
27861,0.133236870272299
27871,0.109509306937882
27972,0.0899403099578731
27993,0.0739312618848338
28038,0.0607618131595782
28045,0.0499582859676977
28048,0.0410775445219365
28112,0.0337583029044222
28220,0.0277360841407202
28302,0.0227976274243638
28559,0.425670195708747
28646,0.350078595706238
28652,0.288157133109403
28730,0.237043921091965
28887,0.940473552736243
28901,0.774415246279421
28919,0.637672075147499
28986,0.524868476043526
29085,0.431952427370362
29261,0.355309671678175
29302,0.336726903557683
29464,0.277123912397386
29480,0.228434204018967
29544,0.188224736487378
29688,0.155001209048205
29722,0.127801419680612
29766,0.10537201786082
29775,0.0869133975435901
29819,0.0716670714665639
29853,0.0591054446022383
29930,0.0487299137474402
30032,0.0401724959988172
30067,0.0331442180450843
30124,0.0273419360528706
30138,0.0225666227945212
30179,0.0186212724506802
30225,0.0153661930511646
30230,0.01268594365024
30254,1.22352607051524
30262,1.01014101092093
30275,0.833945576171796
30413,0.68771725531894
30483,0.56762970239345
30499,0.468805769116674
30535,0.387128008472313
30552,0.319758326545678
30558,0.264147884187423
30767,0.217804257868114
30811,0.179936619433398
30874,0.148639125110098
30944,0.1227922894921
30949,0.101514922041698
31051,0.0838496167230645
31147,0.0692757993930293
31228,0.0572536554600553
31231,0.0473598810908165
31534,0.0390655398511619
31573,0.0323231707791436
31575,0.026755899374372
31732,0.682048297196104
31789,0.564455076647064
31809,0.467353623343332
32058,0.386123211811856
32108,0.319777455313087
32198,0.264755492949689
32413,1.1856749840215
32450,0.982761393910639
32468,0.814784847485821
32645,0.674495108952136
32694,0.559256864641675
32748,0.463729838387934
32794,0.384591627826104
33048,0.485660689239669
33184,0.402662119750744
33545,0.333185436125827
33753,0.276317459583872
33817,0.229586294018162
33859,0.190825864449778
33951,0.158542165371806
33956,0.131861761490953
34136,0.109476549892797
34159,0.0910711399517332
34161,0.0757799856708452
34220,0.063019671773592
34264,0.702587469584056
34288,0.988045270613508
34325,0.821834731329893
34334,0.684031577256818
34354,0.569280983794773
34819,0.83674394064326
35038,0.69562392883817
35170,0.579093266147407
35226,0.482602770325894
35320,0.402074998109384
35353,0.335266642226483
35362,0.279649660977679
35434,0.233107307013412
35583,0.194180750055395
35608,0.162019241365755
35625,0.13520322283226
35727,0.112726985095087
35778,0.0940587365410863
35793,0.0785208512542432
35805,0.0655539172353983
35858,0.0547056146109561
35981,0.0456232093464166
35990,0.0381054229846889
36060,0.0318060472875068
36111,0.0265574356219105
36189,0.0221708422043392
36349,0.0184953189611257
36369,0.015457929136705
36386,0.0129203285902832
36415,0.0107982815934911
36454,0.00902433296020533
36487,0.00754293193518762
36578,0.00630114761816358
36615,0.00526793773085643
36623,0.00440589732080809
36647,0.00368433563870241
36653,0.00308171379877464
36696,0.00257664271876834
36760,0.00215404841326006
36766,0.00180216286102564
36779,0.00150766438255445
36785,0.00126142373701654
36807,0.00105522778177303
36969,0.000881411860685688
36997,0.000737576283977859
37047,0.651451286560004
37156,0.472338286365606
37355,0.394553684297126
37393,0.330405199631173
37516,0.276444703516745
37600,0.232580440899511
37654,0.0962993021802276
37786,0.320487056319717
37798,0.268710460383833
37899,0.225076968157211
37904,0.18877597079398
37993,0.142494633050692
38034,0.119488213819761
38068,0.100213241018654
38178,0.0839807346938279
38421,0.0445354426350164
38456,0.0373824666801639
38555,0.0313575555364949
38667,0.0336228744158618
38683,0.0282440566306192
38758,0.0237102919293548
39056,0.202084265339163
39108,0.169829927149262
39152,0.142753407942944
39190,0.120013894737948
39251,0.100877760555679
39457,0.0846590985847016
39570,0.0711582655595251
39617,0.0598722692212625
39660,0.0503839245383055
39783,0.0391708727708178
39795,0.0329875736817407
39864,0.0277621624349713
39957,0.278219974854935
39992,0.234328122747598
40030,0.162845236958923
40111,0.137101307678979
40162,0.00372388372212384
40322,0.322450363577271
40329,0.27189433268536
40337,0.229265661309505
40482,0.28594273706145
40499,0.241168059590507
40539,0.279746139985605
40584,0.259437596487285
40588,0.218898086105138
40617,0.184638673872648
40963,0.15851582986879
41119,0.133610446623415
41221,0.112732371692303
41227,0.0952515850142639
41317,0.0803988727279759
41365,0.0679112666246304
41628,0.0287264174203123
41703,0.0242734694633704
41718,0.0205296746597341
41789,0.0173517147150939
42080,0.149605006558748
42108,0.126618751017645
42176,0.102106803839927
42227,0.0864122063242583
42321,0.0730985705900338
42483,0.0617957976414445
42677,0.31536932810846
42702,0.267288472566083
42733,0.221073353266444
43068,0.201135570160893
43110,0.174570796436228
43112,0.148147094334064
43234,0.458831094123951
43418,0.388571749436906
43434,0.329930415357094
43572,0.696917275423655
43618,0.591720106238395
43671,0.502409185033816
43711,0.426703104052198
43807,0.362171816367102
43840,0.307722352433199
43863,0.261513242086956
43908,0.222190558782803
43984,0.188723076623049
44130,0.258853157046275
44133,0.2201885211045
44245,0.187030027904314
44351,0.154693784072457
44445,0.127912702110219
44529,0.108768603508292
44598,0.0925261908372192
44842,0.0823207959840069
44885,0.070103081109
44944,0.0596917559740859
45096,0.0912710985612435
45114,0.0777972453477034
45198,0.065626246811604
45291,0.0907890787821479
45375,0.0789176035227577
45437,0.311367362823859
45500,0.265450403138313
45599,0.0443002449088254
45650,0.0377877892313592
45662,0.0323691149647765
45685,0.0291083968967314
45693,0.0248488814903531
45773,0.02119212467964
45865,0.0180738723173874
45877,0.0154347388540685
46053,0.492303443601003
46138,0.420178819582702
46342,0.358099554804038
46392,0.305991242630164
46396,0.261663569521549
46501,0.223444859537246
46681,0.190654806929984
46853,0.573158236798609
46944,0.49006012200989
46973,0.419465444140432
46978,0.359186171370162
46990,0.307542615758965
47007,0.263313229527277
47074,0.225294699348279
47239,0.533198752037347
47262,0.456746043865479
47312,0.391126868816524
47387,0.334855377697799
47454,0.286762770147647
47545,0.245531921761948
47558,0.210508400936774
47593,0.180429636350233
47666,0.154577502678876
47709,0.544804482991616
47750,0.467085712187185
47868,0.400050365619585
47914,0.343085488759126
47926,0.294407959673826
48167,0.361010572602993
48182,0.309962278801663
48253,0.265912028400034
48263,0.228374150416787
48767,0.494974444174073
48798,0.425489355079765
49031,0.636179029532922
49165,0.546384391156593
49270,0.469612707867277
49325,0.404026832165734
49335,0.34787766690733
49471,0.340491310264916
49537,0.293030125048986
49644,0.199063869563858
49647,0.171547480442602
49692,0.14774321661546
49710,0.127306941514608
49778,0.10962033774792
49814,0.0944512877920474
49872,0.081361490633558
49880,0.070147914227686
49992,0.0852355181052218
50005,0.074147747379719
50021,0.0639410270501912
50228,0.0548168939729585
50320,0.0472421108181287
50443,0.0407038007285365
50492,0.0351199301927707
50523,0.0301434564458063
50633,0.0259891575170563
50643,0.0224473255274802
50670,0.0193836331507491
50893,0.0166892418388329
50974,0.0144081383256704
51015,0.0124488294485161
51043,0.0107591526988742
51141,0.00994022265627947
51206,0.00844120100996903
51270,0.0072947680142903
51857,0.374467296182182
51959,0.382972509368201
52005,0.385212902763811
52052,0.334458768960115
52150,0.289462977570452
52184,0.250830160262794
52186,0.217480046680979
52212,0.188494176874084
52221,0.163425249244764
52228,0.141697880633508
52340,0.169625664016888
52346,0.147118241474661
52384,0.127535005573858
52402,0.110603351912061
52456,0.095810470135433
52512,0.0835800006352159
52588,0.0724397990851848
52607,0.0628523462809412
52678,0.0544915046775181
52799,0.203782333051624
52989,0.176421558230128
53079,0.153046166272198
